Order_ID,Customer_ID,Restaurant_ID,City,Cuisine_Type,Platform,Payment_Mode,Weather_Condition,Order_Status,Order_Amount_INR,Delivery_Fee_INR,Discount_Applied_INR,Customer_Rating,Delivery_Time_Minutes,Distance_KM,Items_Ordered,Customer_Age,Restaurant_Avg_Rating,Is_Repeat_Customer,Order_Date_Only,Order_Time_Only
ORD332518,CUST2313,REST826,Bangalore,Fast Food,Zomato,Cash,Windy,Partial Refund,2042.28,68.24,177.28,1.2,52.0,7.67,7,50.0,3.6,1,2022-08-15,16:23:35
ORD169326,CUST2998,REST279,Bangalore,Street Food,Zomato,Wallet,Cloudy,Returned,714.92,17.65,83.2,3.6,113.0,6.5,9,59.0,2.1,1,2023-03-30,09:23:15
ORD489043,CUST6490,REST596,Kolkata,Chinese,Swiggy,UPI,Windy,Cancelled,1544.04,56.85,36.7,1.8,51.0,3.8,8,49.0,4.6,1,2023-09-08,20:52:30
ORD952679,CUST4144,REST414,Mumbai,Continental,Direct App,UPI,Rainy,Delivered,2136.33,71.55,101.05,1.7,63.0,5.76,3,61.0,2.9,1,2022-04-06,22:30:24
ORD192295,CUST7977,REST723,Chennai,Continental,Swiggy,Wallet,Sunny,Partial Refund,476.1,10.85,64.44,3.1,81.0,2.27,1,42.282985339848956,3.5,1,2023-02-01,02:55:36
ORD313068,CUST2314,REST437,Ahmedabad,Street Food,Zomato,Wallet,Sunny,Delayed,1909.37,16.36,6.71,1.1,90.0,5.71,5,65.0,3.7,1,2022-09-04,00:45:57
ORD979789,CUST9701,REST504,Kolkata,Chinese,Direct App,Debit Card,Sunny,Returned,2040.7,66.57,276.49,3.2,61.0,13.96,5,52.0,3.5,1,2023-10-05,10:38:31
ORD371306,CUST4387,REST881#,Kolkata,Biryani,Magicpin,Debit Card,Sunny,Cancelled,1042.0,50.45,277.0,2.5,83.0,14.02,4,65.0,4.7,0,2022-11-13,06:39:28
ORD224473,CUST6500,REST277,Bangalore,South Indian,Swiggy,Cash,Rainy,Cancelled,2482.25,48.43,184.03,3.6,31.0,13.44,4,58.0,4.6,1,2023-07-31,10:46:18
ORD780364,CUST4769,REST748,Hyderabad,North Indian,Direct App,Cash,Sunny,Delivered,1845.65,71.33,248.74,3.6,96.0,13.3,2,59.0,4.5,1,2023-03-22,23:31:02
ORD160426,CUST4565,REST472,Mumbai,Biryani,Magicpin,Credit Card,Rainy,Cancelled,1237.1,54.76,145.035,3.8,94.0,7.67,4,58.0,4.1,0,2023-06-24,16:57:13
ORD813013,CUST6136,REST943,Chennai,Mughlai,Magicpin,Debit Card,Rainy,Partial Refund,127.85,36.68,43.97,4.7,41.0,2.98,6,43.0,2.2,0,2022-01-20,01:17:14
ORD921609,CUST9276,REST267,Mumbai,South Indian,Zomato,Cash,Sunny,Delivered,411.43,21.06,115.31,4.3,119.0,1.89,1,55.0,4.6,1,2023-10-18,19:15:51
ORD750318,CUST3019,REST809,Ahmedabad,Italian,Swiggy,Wallet,Sunny,Cancelled,436.95,51.17,14.35,1.2,108.0,2.1,2,21.0,3.6,0,2023-01-22,06:34:48
ORD717413,CUST4715,REST702,Delhi,Desserts,Swiggy,Debit Card,Sunny,Returned,1397.01,25.56,145.035,4.0,41.0,12.3,5,44.0,4.3,1,2023-12-10,09:16:20
ORD739905,CUST2106,REST281,Hyderabad,Fast Food,Magicpin,Wallet,Windy,Cancelled,310.57,12.44,184.71,4.2,35.0,6.24,7,27.0,3.3,0,2023-08-12,22:00:59
ORD153097,CUST9814,REST389,Pune,Chinese,Zomato,Wallet,Sunny,Partial Refund,161.69,69.52,126.54,3.1,42.0,12.26,4,47.0,4.5,0,2024-02-25,08:18:36
ORD968286,CUST9393,REST248,Pune,Desserts,Zomato,UPI,Rainy,Partial Refund,1223.57,51.15,141.79,4.4,10.0,7.02,3,52.0,3.1,0,2024-02-25,01:00:38
ORD466749,CUST1013,REST744,Ahmedabad,Fast Food,Direct App,Cash,Windy,Partial Refund,413.28,42.28,25.36,2.5,105.0,11.12,1,64.0,2.9,1,2023-09-11,12:28:47
ORD611833,CUST1977,REST650,Kolkata,Italian,Swiggy,UPI,Windy,Delayed,2456.09,3.63,228.67,3.2,40.0,4.48,7,53.0,2.8,1,2023-01-20,11:55:03
ORD388339,CUST5653,REST669,Kolkata,Biryani,Direct App,Cash,Cloudy,Delivered,1704.7,64.88,145.035,3.2,38.0,4.61,2,61.0,3.9,1,2023-10-25,22:54:55
ORD454366,CUST5797,REST544,Delhi,Italian,Dotpe,UPI,Sunny,Returned,1916.64,53.38,57.78,1.4,23.0,8.21,6,22.0,4.1,1,2022-11-29,17:40:52
ORD414849,CUST8889,REST612,Bangalore,Desserts,Magicpin,Credit Card,Sunny,Partial Refund,1198.08,55.31,165.53,4.6,14.0,6.79,9,50.0,4.3,0,2022-10-06,15:03:00
ORD831514,CUST8258,REST105,Ahmedabad,Biryani,Dotpe,Debit Card,Rainy,Cancelled,773.6,55.56,172.17,4.9,80.0,8.26,3,38.0,3.2,0,2023-06-21,04:58:36
ORD359579,CUST6167,REST704,Ahmedabad,Biryani,Swiggy,Wallet,Cloudy,Cancelled,99.0,69.34,10.58,1.9,120.0,6.9,2,56.0,2.4,1,2022-04-29,01:21:14
ORD265271,CUST9231,REST569,Mumbai,Chinese,Dotpe,Credit Card,Humid,Returned,258.33,28.18,187.99,3.0,72.0,7.98,8,59.0,3.3,0,2023-12-08,09:05:32
ORD160718,CUST8550,REST703,Kolkata,Desserts,Direct App,Cash,Sunny,Cancelled,1151.53,75.12,82.68,2.9,73.0,6.46,3,65.0,4.9,1,2023-12-11,14:14:02
ORD178315,CUST6319,REST541,Chennai,Italian,Dotpe,Wallet,Cloudy,Delayed,753.68,71.57,109.43,3.2,60.0,7.67,8,43.0,3.3,1,2023-12-06,17:03:54
ORD223502,CUST5183,REST855,Bangalore,Desserts,Dotpe,Debit Card,Windy,Delivered,1319.75,4.09,206.58,2.3,48.0,0.79,3,35.0,2.1,1,2023-12-11,21:46:06
ORD352593,CUST5994,REST367,Hyderabad,Chinese,Swiggy,Debit Card,Humid,Delivered,1285.69,18.7,151.0,2.8,105.0,5.84,5,27.0,2.7,1,2023-08-08,19:27:11
