Order_ID,Customer_ID,Restaurant_ID,Order_Date,City,Cuisine_Type,Platform,Payment_Mode,Weather_Condition,Order_Status,Order_Amount_INR,Delivery_Fee_INR,Discount_Applied_INR,Customer_Rating,Delivery_Time_Minutes,Distance_KM,Items_Ordered,Customer_Age,Restaurant_Avg_Rating,Is_Repeat_Customer,Unnamed: 21,Unnamed: 22,_temp_flag
ORD332518,CUST2313,REST826,2022-08-15 16:23:35,Bangaluru,Fast Food,Zomato,Cash,Windy,Partial Refund,2042.28,68.24,177.28,1.2,52,,7,50,3.6,1,,,0
ORD169326,CUST2998,REST279,2023-03-30 09:23:15,Bangalore,Street Food,Zomato,,Cloudy,Returned,714.92,17.65,83.2,3.6,113,6.5,9,59,2.1,1,,,
ORD489043,CUST6490,REST596,2023-09-08 20:52:30,Kolkata,Chinese,Swiggy,u.p.i,Windy,Cancelled,1544.04,56.85,36.7,1.8,51,3.8,8,49,4.6,1,,,
ORD952679,CUST4144,REST414,2022-04-06 22:30:24,Mumbai,Continental,Direct App,UPI,Rainy,Delivered,2136.33,71.55,101.05,1.7,63,5.76,3,61,2.9,1,,,0
ORD192295,CUST7977,REST723,2023-02-01 02:55:36,Chennai,Continental,Swiggy,Wallet,,Partial Refund,476.1,10.85,64.44,3.1,81,2.27,1,,3.5,1,,,1
ORD313068,CUST2314,REST437,2022-09-04 00:45:57,Ahmedabad,Street Food,Zomato,Wallet,Sunny,Delayed,1909.37,16.36,6.71,1.1,90,5.71,5,65,3.7,1,,,0
ORD979789,CUST9701,REST504,2023-10-05 10:38:31,Kolkata,Chinese,Direct App,Debit Card,Sunny,Returned,2040.7,66.57,276.49,,61,13.96,5,52,3.5,1,,,0
ORD371306,CUST4387,REST881#,2022-11-13 06:39:28,Kolkata,Biryani,MagicPin,Debit Card,,Cancelled,1042.0,50.45,277.0,2.5,83,14.02,4,65,4.7,0,,,1
ORD224473,CUST6500,REST277,2023-07-31 10:46:18,Bangalore,South Indian,Swiggy,Cash,Rainy,Cancelled,2482.25,48.43,184.03,3.6,31,13.44,4,58,4.6,1,,,
ORD780364,CUST4769,REST748,2023-03-22 23:31:02,Hyderabad,North Indian,Direct App,CASH,Sunny,Delivered,1845.65,71.33,248.74,3.6,96,13.3,2,59,4.5,1,,,0
ORD160426,CUST4565,REST472,2023-06-24 16:57:13,Mumbai,Biryani,MagicPin,Credit Card,Rainy,Cancelled,1237.1,54.76,,3.8,94,,4,58,4.1,0,,,1
ORD813013,CUST6136,REST943,2022-01-20 01:17:14,chennai,Mughlai,n/a,Debit Card,Rainy,Partial Refund,127.85,36.68,43.97,4.7,41,2.98,6,43,2.2,0,,,0
ORD921609,CUST9276,REST267,2023-10-18 19:15:51,Mumbai,South Indian,Zomato,Cash,,Delivered,411.43,21.06,115.31,4.3,119,1.89,1,55,4.6,1,,,
ORD750318,CUST3019,REST809,2023-01-22 06:34:48,Ahmedabad,Italian,Swiggy,Wallet,Sunny,Cancelled,436.95,51.17,14.35,1.2,108,2.1,2,21,3.6,0,,,
ORD717413,CUST4715,REST702,2023-12-10 09:16:20,Delhi,Desserts,Swiggy,Debit Card,,Returned,1397.01,25.56,,4.0,41,12.3,5,44,4.3,1,,,0
ORD739905,CUST2106,REST281,2023-08-12 22:00:59,Hyderabad,Fast Food,MagicPin,Wallet,Windy,Cancelled,310.57,12.44,184.71,4.2,35,6.24,7,27,3.3,0,,,1
ORD906233,CUST6689,REST465,18 Apr 2022,Pune,Desserts,Swiggy,Debit Card,,Delivered,112.54,14.02,61.8,3.5,116,5.39,10,52,4.5,0,,,1
ORD153097,CUST9814,REST389,2024-02-25 08:18:36,Pune,Chinese,Zomato,Wallet,Sunny,Partial Refund,161.69,69.52,126.54,3.1,42,12.26,4,47,4.5,0,,,0
